,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI Jan,Ave GHI Jan,Ave Lat Tilt Jan,Ave DNI Aug,Ave GHI Aug,Ave Lat Tilt Aug
52,Casa Grande,32.88,-111.76,40.56,31.0,1.0,2.1,US,1596307471.0,6.54,3.55,5.85,7.18,6.68,6.68
53,Sterling,39.01,-77.43,30.0,69.0,75.0,3.1,US,1596307471.0,3.71,2.18,3.87,4.44,5.43,5.52
54,Marsh Harbour,26.54,-77.06,28.66,75.0,100.0,14.82,BS,1596307471.0,,,,,,
55,Lamar,33.67,-95.58,31.67,51.0,40.0,2.6,US,1596307472.0,3.92,2.6,4.06,5.97,6.21,6.23
56,Guerrero Negro,27.98,-114.06,32.2,41.0,2.0,2.77,MX,1596307472.0,,,,,,
57,Red Wing,44.56,-92.53,28.0,37.0,1.0,1.5,US,1596307448.0,2.53,1.52,2.93,5.0,5.24,5.48
58,Kewanee,41.25,-89.92,26.67,58.0,86.0,1.79,US,1596307472.0,2.33,1.62,2.79,4.92,5.42,5.58
59,Morro Bay,35.37,-120.85,30.56,42.0,0.0,1.34,US,1596307202.0,4.33,2.8,4.59,4.89,5.89,5.87
60,Brenham,30.17,-96.4,32.22,70.0,40.0,3.49,US,1596307472.0,3.73,2.82,4.04,5.46,6.15,6.11
61,Pascagoula,30.37,-88.56,33.33,59.0,75.0,1.5,US,1596307473.0,3.9,2.96,4.28,4.62,5.73,5.7
62,Baraboo,43.47,-89.74,26.0,41.0,1.0,3.6,US,1596307473.0,2.8,1.67,3.17,4.62,5.18,5.38
63,Cadillac,44.25,-85.4,30.0,41.0,40.0,2.57,US,1596307473.0,1.87,1.34,2.38,4.67,5.17,5.37
64,Ojinaga,29.57,-104.42,35.0,28.0,40.0,1.5,MX,1596307473.0,6.46,3.91,5.9,6.57,6.66,6.58
65,Washougal,45.58,-122.35,21.67,64.0,20.0,2.1,US,1596307473.0,1.42,1.11,1.92,5.23,5.48,5.81
