,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
54,Valdosta,30.83,-83.28,31.11,58.0,40.0,2.41,US,1596302220.0,4.38,5.6,5.57
55,Atlantic Beach,30.33,-81.4,34.44,70.0,20.0,5.1,US,1596302343.0,4.51,5.68,5.66
56,Rosarito,32.33,-117.03,32.78,64.0,5.0,3.6,MX,1596302344.0,,,
57,Elk City,35.41,-99.4,28.0,42.0,1.0,2.6,US,1596302344.0,6.56,6.41,6.48
58,Pierre,44.37,-100.35,25.0,64.0,75.0,6.7,US,1596302344.0,6.38,5.95,6.3
59,Saint-Michel-des-Saints,46.68,-73.92,28.33,6.0,3.0,0.58,CA,1596302344.0,,,
60,Xenia,39.68,-83.93,27.78,65.0,90.0,3.6,US,1596302344.0,4.83,5.55,5.68
61,King City,36.21,-121.13,30.0,8.0,0.0,1.79,US,1596302223.0,7.96,7.11,7.27
62,Mineral Wells,32.81,-98.11,30.56,45.0,1.0,3.6,US,1596302056.0,6.16,6.26,6.25
63,Englewood,39.65,-104.99,28.89,26.0,20.0,2.1,US,1596302155.0,6.6,6.17,6.35
64,Grand Forks,47.93,-97.03,23.0,53.0,40.0,8.7,US,1596302198.0,5.49,5.3,5.67
65,Twin Falls,42.56,-114.46,28.0,26.0,1.0,3.6,US,1596302102.0,8.42,6.76,7.07
66,Baker City,44.77,-117.83,25.0,29.0,1.0,2.6,US,1596302345.0,8.1,6.48,6.87
67,Coos Bay,43.37,-124.22,21.67,82.0,40.0,2.6,US,1596302345.0,5.37,5.58,5.82
68,Burkburnett,34.1,-98.57,30.0,54.0,1.0,1.5,US,1596302345.0,6.4,6.39,6.43
69,Half Moon Bay,37.46,-122.43,19.44,77.0,40.0,3.1,US,1596302346.0,3.63,5.16,5.14
70,Bend,44.06,-121.32,24.0,31.0,1.0,2.1,US,1596302104.0,8.26,6.63,7.03
71,Dickinson,29.46,-95.05,26.0,83.0,20.0,2.6,US,1596302346.0,4.75,5.76,5.68
72,Winnemucca,40.97,-117.74,28.0,12.0,1.0,2.1,US,1596302158.0,8.99,7.13,7.4
73,Charleston,32.78,-79.93,35.56,59.0,1.0,3.6,US,1596302064.0,4.37,5.56,5.55
74,Price,39.6,-110.81,31.0,14.0,1.0,1.5,US,1596302346.0,6.8,6.13,6.21
75,Portland,45.52,-122.68,18.89,72.0,90.0,2.6,US,1596302131.0,5.49,5.55,5.87
76,Naco,31.33,-109.95,31.67,51.0,0.0,1.34,MX,1596302347.0,6.35,6.25,6.2
77,Kingsville,27.52,-97.86,32.22,59.0,1.0,2.07,US,1596302347.0,5.54,6.16,6.05
78,Hayden,47.77,-116.79,26.67,44.0,1.0,2.6,US,1596302347.0,7.3,6.11,6.6
79,Havelock,34.88,-76.9,34.44,59.0,40.0,4.07,US,1596302347.0,4.27,5.43,5.44
80,Maryville,35.76,-83.97,30.56,55.0,40.0,7.7,US,1596302056.0,4.64,5.78,5.83
81,Las Vegas,36.17,-115.14,40.56,11.0,1.0,2.1,US,1596302071.0,8.26,7.03,7.11
82,Terrace Bay,48.78,-87.1,20.0,68.0,75.0,2.6,CA,1596302347.0,,,
83,Laramie,41.31,-105.59,24.44,23.0,1.0,2.1,US,1596302331.0,6.3,5.78,5.89
84,Oxbow,49.23,-102.17,23.33,54.0,53.0,3.58,CA,1596302348.0,,,
85,Tehachapi,35.13,-118.45,30.56,22.0,1.0,5.7,US,1596302247.0,9.27,7.45,7.5
86,Jiménez,28.33,-105.4,30.0,40.0,20.0,3.8,MX,1596302348.0,,,
87,New Port Richey,28.24,-82.72,35.0,53.0,43.0,0.89,US,1596302348.0,4.54,5.62,5.56
88,Harrisonville,38.65,-94.35,27.0,51.0,40.0,2.6,US,1596302348.0,5.55,5.79,5.91
89,Atikokan,48.76,-91.62,20.07,78.0,100.0,3.47,CA,1596302349.0,,,
90,Harrisonburg,38.45,-78.87,28.33,78.0,90.0,2.1,US,1596302300.0,4.51,5.5,5.57
91,Alice,27.75,-98.07,32.0,66.0,1.0,3.6,US,1596302349.0,5.51,6.18,6.07
92,Baytown,29.74,-94.98,25.0,96.0,100.0,1.79,US,1596302349.0,4.75,5.78,5.72
93,Livingston,55.9,-3.52,17.22,63.0,20.0,4.6,GB,1596302349.0,,,
94,Cheney,47.49,-117.58,27.22,36.0,40.0,3.1,US,1596302291.0,7.43,6.23,6.75
95,Safford,32.83,-109.71,34.0,26.0,1.0,3.09,US,1596302349.0,6.68,6.42,6.41
96,Stephenville,32.22,-98.2,30.56,48.0,1.0,2.6,US,1596302350.0,6.19,6.29,6.27
97,Jesup,31.61,-81.89,33.89,49.0,1.0,2.23,US,1596302350.0,4.35,5.6,5.57
98,Hornepayne,49.21,-84.77,26.39,41.0,67.0,1.58,CA,1596302350.0,,,
99,Magog,45.27,-72.15,28.33,57.0,40.0,1.0,CA,1596302111.0,,,
100,Bismarck,46.81,-100.78,25.0,41.0,40.0,5.1,US,1596302220.0,6.18,5.67,6.08
101,Wilmington,34.23,-77.94,34.0,56.0,20.0,4.6,US,1596302202.0,4.13,5.36,5.35
102,Escanaba,45.75,-87.06,25.56,64.0,1.0,4.6,US,1596302176.0,5.03,5.27,5.55
103,Ardmore,34.17,-97.14,28.89,54.0,90.0,2.1,US,1596302059.0,6.19,6.26,6.29
104,Fenelon Falls,44.53,-78.75,30.56,48.0,1.0,2.6,CA,1596302351.0,,,
105,Healdsburg,38.61,-122.87,22.22,62.0,0.0,1.03,US,1596302351.0,7.46,6.88,7.14
106,Bradford,53.79,-1.75,17.22,59.0,20.0,8.2,GB,1596302351.0,,,
107,Bellefontaine,40.36,-83.76,25.0,91.0,90.0,2.6,US,1596302195.0,4.51,5.39,5.51
108,Batavia,41.85,-88.31,25.0,83.0,75.0,4.1,US,1596302351.0,4.54,5.26,5.41
109,Grafton,42.21,-71.69,32.22,37.0,1.0,4.6,US,1596302351.0,4.41,5.21,5.38
110,Port Hardy,50.7,-127.42,18.0,77.0,40.0,1.5,CA,1596302325.0,,,
111,Sahuaripa,29.05,-109.23,31.76,61.0,36.0,1.42,MX,1596302352.0,,,
112,Hidalgo,20.5,-99.0,21.51,60.0,49.0,1.69,MX,1596302352.0,,,
113,Enumclaw,47.2,-121.99,17.78,89.0,75.0,1.22,US,1596302352.0,4.68,5.0,5.26
114,Vicksburg,32.35,-90.88,28.0,94.0,90.0,3.1,US,1596302352.0,5.18,6.01,6.02
115,Cranbrook,49.5,-115.77,28.0,45.0,75.0,1.5,CA,1596302352.0,,,
116,Astoria,46.19,-123.83,17.22,87.0,90.0,2.1,US,1596302352.0,4.15,4.93,5.16
117,Spring Hill,28.48,-82.53,34.44,52.0,1.0,2.6,US,1596302353.0,4.16,5.4,5.33
118,Desbiens,48.42,-71.95,24.0,78.0,20.0,2.1,CA,1596302353.0,,,
119,Otradnoye,59.78,30.82,18.33,54.0,0.0,2.02,RU,1596302353.0,,,
120,Centralia,46.72,-122.95,18.0,77.0,90.0,0.73,US,1596302353.0,4.98,5.23,5.52
121,Harrisburg,40.27,-76.88,31.11,45.0,75.0,3.6,US,1596302298.0,4.29,5.28,5.37
122,Potsdam,52.4,13.07,28.33,34.0,84.0,1.33,DE,1596302121.0,,,
123,Syracuse,37.09,15.28,35.0,41.0,1.0,2.6,IT,1596302354.0,,,
124,Hays,30.05,-98.03,33.33,62.0,60.0,3.58,US,1596302354.0,5.71,6.22,6.15
125,Ormond Beach,29.29,-81.06,32.78,62.0,20.0,3.1,US,1596302137.0,4.66,5.71,5.66
126,Craig,40.52,-107.55,28.0,24.0,1.0,4.1,US,1596302293.0,7.14,6.3,6.47
127,Isla Vista,34.41,-119.86,19.0,72.0,1.0,2.6,US,1596302354.0,7.06,6.79,6.86
128,Rock Springs,41.59,-109.2,27.0,21.0,1.0,4.6,US,1596302312.0,7.56,6.33,6.52
129,Belgrade,44.8,20.47,29.0,32.0,0.0,4.1,RS,1596302355.0,,,
130,Brownwood,31.71,-98.99,31.0,35.0,1.0,2.1,US,1596302355.0,6.34,6.37,6.34
131,Ramona,33.04,-116.87,35.0,33.0,1.0,4.6,US,1596302355.0,8.07,7.2,7.22
132,Staunton,38.15,-79.07,27.22,78.0,90.0,4.1,US,1596302170.0,4.57,5.52,5.59
133,Jonesboro,35.84,-90.7,24.0,73.0,90.0,7.2,US,1596302116.0,5.46,6.01,6.09
134,Emporia,38.4,-96.18,26.0,54.0,20.0,3.1,US,1596302355.0,5.76,5.93,6.05
135,Carlisle,40.2,-77.19,30.56,57.0,38.0,2.62,US,1596302196.0,4.29,5.27,5.36
136,Houma,29.6,-90.72,33.89,66.0,40.0,4.04,US,1596302201.0,4.12,5.39,5.33
137,Santa Barbara,34.42,-119.7,35.0,72.0,1.0,2.6,US,1596302354.0,7.52,6.93,6.99
138,Evanston,42.04,-87.69,26.67,61.0,90.0,3.1,US,1596302356.0,4.39,5.21,5.38
139,Susanville,40.42,-120.65,27.22,19.0,1.0,0.89,US,1596302235.0,9.13,7.22,7.49
140,Virginia Beach,36.85,-75.98,31.67,74.0,75.0,3.6,US,1596302250.0,4.44,5.5,5.57
141,Morro Bay,35.37,-120.85,25.0,55.0,1.0,1.34,US,1596302157.0,4.89,5.89,5.87
142,Hope,33.67,-93.59,29.44,58.0,0.0,0.89,US,1596302356.0,5.57,6.09,6.12
143,Batesville,35.77,-91.64,27.0,51.0,40.0,4.6,US,1596302357.0,5.37,5.94,6.01
144,Flagstaff,35.2,-111.65,30.0,28.0,1.0,5.1,US,1596302106.0,6.31,5.86,5.81
145,Bay City,43.59,-83.89,26.11,65.0,1.0,2.48,US,1596302357.0,4.73,5.32,5.52
146,Silver City,32.77,-108.28,29.0,26.0,1.0,3.1,US,1596302357.0,6.79,6.31,6.26
147,Lexington,37.99,-84.48,28.89,78.0,75.0,6.2,US,1596302217.0,4.82,5.61,5.69
148,Carbondale,37.73,-89.22,20.0,88.0,90.0,4.6,US,1596302357.0,5.48,5.89,6.0
149,Progreso,21.28,-89.67,33.89,55.0,75.0,4.97,MX,1596302357.0,,,
150,Billings Metropolitan Area,45.78,-108.5,28.33,44.0,20.0,3.1,US,1596302334.0,7.1,6.12,6.53
151,Fallon,39.47,-118.78,30.56,11.0,20.0,3.1,US,1596302358.0,9.26,7.27,7.48
152,Delta,5.5,6.0,27.09,67.0,44.0,3.3,NG,1596302358.0,,,
153,Lamar,33.67,-95.58,30.56,54.0,1.0,3.6,US,1596302358.0,5.97,6.21,6.23
154,North Platte,41.12,-100.77,27.0,51.0,1.0,3.1,US,1596302358.0,6.6,6.15,6.39
155,Elliot Lake,46.38,-82.63,26.0,57.0,1.0,2.1,CA,1596302358.0,,,
156,Coshocton,40.27,-81.86,25.56,80.0,84.0,0.45,US,1596302359.0,4.44,5.37,5.49
157,Kincardine,56.07,-3.72,17.22,63.0,20.0,4.6,GB,1596302137.0,,,
158,Maniwaki,46.38,-75.97,29.41,46.0,0.0,1.08,CA,1596302359.0,,,
159,Michigan City,41.71,-86.89,23.33,100.0,1.0,1.5,US,1596302359.0,4.59,5.32,5.51
160,Deep River,46.1,-77.5,25.0,69.0,1.0,0.79,CA,1596302359.0,,,
161,Princeton,25.54,-80.41,31.67,66.0,90.0,6.7,US,1596302359.0,4.26,5.51,5.4
162,Marquette,46.53,-87.63,28.89,62.0,0.0,1.41,US,1596302359.0,4.97,5.15,5.4
163,Uxbridge,42.08,-71.63,32.22,39.0,1.0,1.63,US,1596302360.0,4.34,5.19,5.34
164,Sunnyside,46.32,-120.01,27.22,60.0,1.0,1.89,US,1596302255.0,8.09,6.57,7.11
165,Meridian,43.61,-116.39,27.22,30.0,1.0,4.1,US,1596302148.0,8.72,6.86,7.26
166,Bemidji,47.47,-94.88,23.33,73.0,40.0,5.7,US,1596302297.0,5.32,5.26,5.59
167,Fort Morgan,40.25,-103.8,28.0,32.0,1.0,2.6,US,1596302281.0,7.13,6.5,6.74
168,Elizabeth City,36.29,-76.25,33.0,66.0,75.0,2.41,US,1596302360.0,4.73,5.59,5.64
169,Erie,42.77,-78.67,30.0,40.0,75.0,4.1,US,1596302321.0,4.41,5.12,5.25
170,North Las Vegas,36.2,-115.12,40.56,11.0,1.0,2.1,US,1596302148.0,8.26,7.03,7.11
171,Huron,41.15,-82.55,22.78,89.0,99.0,0.45,US,1596302361.0,4.4,5.26,5.38
172,Marysville,48.05,-122.18,17.22,82.0,90.0,2.6,US,1596302247.0,5.25,5.28,5.65
173,Lindsay,36.2,-119.09,28.33,39.0,1.0,2.6,US,1596302163.0,8.25,7.27,7.41
174,Clarksdale,34.2,-90.57,23.89,94.0,92.0,3.51,US,1596302361.0,5.59,6.14,6.18
175,Hoquiam,46.98,-123.89,17.22,87.0,90.0,2.6,US,1596302361.0,4.07,4.78,5.01
176,Saginaw,43.33,-84.03,26.11,65.0,1.0,1.64,US,1596302275.0,4.61,5.29,5.48
177,Mulegé,26.88,-111.98,32.63,51.0,45.0,3.05,MX,1596302362.0,,,
178,Manitouwadge,49.12,-85.84,20.0,68.0,75.0,2.6,CA,1596302362.0,,,
179,Rockport,28.02,-97.05,33.0,63.0,40.0,4.1,US,1596302362.0,5.49,6.25,6.17
180,Jeffersontown,38.19,-85.56,27.78,78.0,90.0,3.1,US,1596302362.0,4.91,5.68,5.77
181,Thunder Bay,48.4,-89.32,22.0,64.0,90.0,2.6,CA,1596302323.0,,,
182,West Freehold,40.24,-74.3,31.67,45.0,1.0,3.1,US,1596302362.0,4.35,5.29,5.41
183,Weatherford,32.76,-97.8,30.0,54.0,0.0,1.79,US,1596302241.0,6.2,6.31,6.3
184,Exeter,50.72,-3.53,20.0,56.0,40.0,6.2,GB,1596302306.0,,,
185,Miles City,46.41,-105.84,27.0,44.0,1.0,2.6,US,1596302363.0,7.09,6.11,6.59
186,Sunrise Manor,36.21,-115.07,39.44,8.0,1.0,3.1,US,1596302164.0,7.97,6.97,7.06
187,Jacksonville,30.33,-81.66,34.44,70.0,40.0,5.1,US,1596302160.0,4.22,5.5,5.45
188,Kings Point,26.45,-80.14,32.0,66.0,40.0,11.3,US,1596302363.0,4.45,5.64,5.54
189,Naples,40.83,14.25,30.0,65.0,40.0,2.6,IT,1596302363.0,,,
190,Ukiah,39.15,-123.21,24.44,49.0,1.0,2.1,US,1596302237.0,8.6,7.19,7.43
191,Millville,39.4,-75.04,32.78,51.0,20.0,2.1,US,1596302219.0,4.44,5.41,5.5
192,Morgantown,39.63,-79.96,27.0,65.0,90.0,2.1,US,1596302199.0,4.01,5.25,5.33
193,Lake Havasu City,34.48,-114.32,39.0,20.0,1.0,8.2,US,1596302364.0,7.59,6.87,6.91
194,Keene,42.93,-72.28,30.0,48.0,1.0,1.83,US,1596302364.0,4.25,5.08,5.24
195,Chapais,49.78,-74.85,25.0,50.0,90.0,3.6,CA,1596302364.0,,,
196,Nogales,31.31,-110.94,31.67,45.0,1.0,2.1,MX,1596302364.0,6.07,6.0,5.93
197,Matamoros,25.53,-103.25,28.33,54.0,75.0,4.95,MX,1596302365.0,,,
198,Santa Rosalía,27.32,-112.28,30.39,61.0,23.0,3.03,MX,1596302365.0,,,
199,Shaunavon,49.65,-108.42,23.09,43.0,54.0,5.67,CA,1596302365.0,,,
200,Benicia,38.05,-122.16,24.44,56.0,1.0,4.1,US,1596302365.0,7.15,6.87,7.11
201,Freeport,40.66,-73.58,30.0,48.0,75.0,5.7,US,1596302211.0,4.55,5.38,5.53
202,Blackfoot,43.19,-112.34,29.44,19.0,0.0,0.89,US,1596302365.0,7.9,6.63,6.96
203,Parkersburg,39.27,-81.56,28.89,78.0,90.0,2.1,US,1596302366.0,4.42,5.42,5.52
204,Mountain Home,43.13,-115.69,31.0,19.0,20.0,2.1,US,1596302366.0,8.88,6.93,7.3
205,Bozeman,45.68,-111.04,26.11,47.0,1.0,1.5,US,1596302366.0,6.84,6.02,6.38
206,Anaconda,46.13,-112.94,25.0,38.0,1.0,1.5,US,1596302366.0,6.61,5.86,6.18
