,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date,Ave DNI,Ave GHI,Ave Lat Tilt
0,Fortuna,40.6,-124.16,21.11,69.0,12.0,1.34,US,1596240277.0,4.16,4.1,4.75
1,Elizabeth City,36.29,-76.25,32.0,70.0,40.0,3.1,US,1596240459.0,4.91,4.46,5.18
2,Guerrero Negro,27.98,-114.06,29.38,47.0,0.0,6.03,MX,1596240459.0,,,
3,Sault Ste. Marie,46.52,-84.33,25.0,53.0,1.0,3.1,CA,1596240459.0,3.72,3.58,4.1
4,Grand Forks,47.93,-97.03,27.0,54.0,75.0,4.1,US,1596240240.0,3.98,3.6,4.29
5,Escanaba,45.75,-87.06,24.44,76.0,32.0,0.89,US,1596240459.0,3.84,3.69,4.33
6,Jupiter,26.93,-80.09,30.0,70.0,1.0,5.1,US,1596240459.0,4.69,4.99,5.44
7,Hurricane,37.18,-113.29,42.22,9.0,12.0,3.58,US,1596240288.0,7.47,5.48,6.48
8,Chalmette,29.94,-89.96,32.22,52.0,1.0,5.7,US,1596240460.0,4.13,4.58,5.04
9,Hays,30.05,-98.03,31.0,43.0,1.0,4.1,US,1596240460.0,4.71,4.71,5.17
10,Jonesboro,35.84,-90.7,28.89,62.0,14.0,8.94,US,1596240396.0,4.38,4.4,4.98
11,Hermiston,45.84,-119.29,41.0,12.0,1.0,8.2,US,1596240460.0,5.21,4.34,5.14
12,Saint George,37.1,-113.58,43.33,8.0,1.0,7.2,US,1596240320.0,7.5,5.53,6.56
13,Clarksburg,39.28,-80.34,27.0,74.0,75.0,3.1,US,1596240329.0,3.61,3.91,4.45
14,Cockburn Town,21.46,-71.14,28.21,83.0,100.0,12.22,TC,1596240460.0,,,
15,Nantucket,41.28,-70.1,22.0,88.0,90.0,3.1,US,1596240461.0,3.55,3.88,4.47
16,Las Cruces,32.31,-106.78,36.67,20.0,1.0,2.6,US,1596240325.0,7.57,5.85,6.76
17,Barraute,48.43,-77.63,25.0,53.0,20.0,2.6,CA,1596240262.0,,,
18,Cañon City,38.44,-105.24,28.0,37.0,40.0,4.6,US,1596240461.0,6.61,4.94,6.0
