,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
77,Kingsville,27.52,-97.86,32.22,59.0,1.0,2.07,US,1596302347.0
78,Hayden,47.77,-116.79,26.67,44.0,1.0,2.6,US,1596302347.0
79,Havelock,34.88,-76.9,34.44,59.0,40.0,4.07,US,1596302347.0
80,Maryville,35.76,-83.97,30.56,55.0,40.0,7.7,US,1596302056.0
81,Las Vegas,36.17,-115.14,40.56,11.0,1.0,2.1,US,1596302071.0
82,Terrace Bay,48.78,-87.1,20,68.0,75.0,2.6,CA,1596302347.0
83,Laramie,41.31,-105.59,24.44,23.0,1.0,2.1,US,1596302331.0
84,Oxbow,49.23,-102.17,23.33,54.0,53.0,3.58,CA,1596302348.0
85,Tehachapi,35.13,-118.45,30.56,22.0,1.0,5.7,US,1596302247.0
86,Jiménez,28.33,-105.4,30,40.0,20.0,3.8,MX,1596302348.0
87,New Port Richey,28.24,-82.72,35,53.0,43.0,0.89,US,1596302348.0
88,Harrisonville,38.65,-94.35,27,51.0,40.0,2.6,US,1596302348.0
89,Atikokan,48.76,-91.62,20.07,78.0,100.0,3.47,CA,1596302349.0
90,Harrisonburg,38.45,-78.87,28.33,78.0,90.0,2.1,US,1596302300.0
91,Alice,27.75,-98.07,32,66.0,1.0,3.6,US,1596302349.0
92,Baytown,29.74,-94.98,25,96.0,100.0,1.79,US,1596302349.0
93,Livingston,55.9,-3.52,17.22,63.0,20.0,4.6,GB,1596302349.0
94,Cheney,47.49,-117.58,27.22,36.0,40.0,3.1,US,1596302291.0
95,Safford,32.83,-109.71,34,26.0,1.0,3.09,US,1596302349.0
96,Stephenville,32.22,-98.2,30.56,48.0,1.0,2.6,US,1596302350.0
97,Jesup,31.61,-81.89,33.89,49.0,1.0,2.23,US,1596302350.0
98,Hornepayne,49.21,-84.77,26.39,41.0,67.0,1.58,CA,1596302350.0
99,Magog,45.27,-72.15,28.33,57.0,40.0,1.0,CA,1596302111.0
100,Bismarck,46.81,-100.78,25,41.0,40.0,5.1,US,1596302220.0
101,Wilmington,34.23,-77.94,34,56.0,20.0,4.6,US,1596302202.0
102,Escanaba,45.75,-87.06,25.56,64.0,1.0,4.6,US,1596302176.0
103,Ardmore,34.17,-97.14,28.89,54.0,90.0,2.1,US,1596302059.0
104,Fenelon Falls,44.53,-78.75,30.56,48.0,1.0,2.6,CA,1596302351.0
105,Healdsburg,38.61,-122.87,22.22,62.0,0.0,1.03,US,1596302351.0
106,Bradford,53.79,-1.75,17.22,59.0,20.0,8.2,GB,1596302351.0
107,Bellefontaine,40.36,-83.76,25,91.0,90.0,2.6,US,1596302195.0
108,Batavia,41.85,-88.31,25,83.0,75.0,4.1,US,1596302351.0
109,Grafton,42.21,-71.69,32.22,37.0,1.0,4.6,US,1596302351.0
110,Port Hardy,50.7,-127.42,18,77.0,40.0,1.5,CA,1596302325.0
111,Sahuaripa,29.05,-109.23,31.76,61.0,36.0,1.42,MX,1596302352.0
112,Hidalgo,20.5,-99.0,21.51,60.0,49.0,1.69,MX,1596302352.0
113,Enumclaw,47.2,-121.99,17.78,89.0,75.0,1.22,US,1596302352.0
114,Vicksburg,32.35,-90.88,28,94.0,90.0,3.1,US,1596302352.0
115,Cranbrook,49.5,-115.77,28,45.0,75.0,1.5,CA,1596302352.0
116,Astoria,46.19,-123.83,17.22,87.0,90.0,2.1,US,1596302352.0
117,Spring Hill,28.48,-82.53,34.44,52.0,1.0,2.6,US,1596302353.0
118,Desbiens,48.42,-71.95,24,78.0,20.0,2.1,CA,1596302353.0
119,Otradnoye,59.78,30.82,18.33,54.0,0.0,2.02,RU,1596302353.0
